Delta,Theta,Alpha,Beta,Gamma,Attention
-0.267539499,-3.554931963,6.679144229,-34.87476546,-25.24414919,2.90E+01
-0.012086324,-3.289064397,7.821851934,-35.16401131,-25.04494387,4.10E+01
0.242657315,-3.02427984,8.962004479,-35.36892401,-24.16362703,4.10E+01
0.496663698,-2.760721654,10.09680811,-35.48546972,-22.6147103,5.30E+01
0.749893518,-2.498442178,11.2222434,-35.50616598,-20.47657174,5.70E+01
1.002287814,-2.237357997,12.33223771,-35.41814681,-17.92230747,6.30E+01
1.253799189,-1.977473242,13.42181309,-35.21190065,-15.08361117,6.00E+01
1.504400558,-1.718908907,14.48805905,-34.88301788,-12.02772461,5.70E+01
1.754070905,-1.461841277,15.52860165,-34.42909811,-8.80323589,6.00E+01
2.002808418,-1.206606477,16.54290865,-33.8536738,-5.378727152,5.30E+01
2.25060569,-0.95348658,17.52983759,-33.15840899,-1.768639694,6.70E+01
2.497423446,-0.702530144,18.48493461,-32.33588211,1.854078036,5.00E+01
2.743232349,-0.453855204,19.40469154,-31.38147044,5.342138518,4.40E+01
2.988012284,-0.207628815,20.2865064,-30.29281334,8.562925784,4.40E+01
3.231735663,0.036036812,21.1271614,-29.06632768,11.37371829,4.30E+01
3.474387094,0.276936503,21.92497926,-27.70357795,13.74206154,4.10E+01
3.715944301,0.514928103,22.67778592,-26.20494849,15.62726958,3.80E+01
3.956364872,0.750026343,23.38165734,-24.56634909,16.94207335,2.90E+01
4.195620263,0.982153903,24.03424458,-22.78838629,17.67517875,2.00E+01
4.433700614,1.211114722,24.63506758,-20.8766929,17.86521932,1.10E+01
4.670596861,1.436719571,25.18408447,-18.83856366,17.60185445,3.00E+01
4.906311868,1.658704196,25.68287832,-16.68637031,17.08466227,4.00E+01
5.140843276,1.876851684,26.13245275,-14.43095705,16.46119471,5.40E+01
5.374162039,2.091141503,26.53100255,-12.07561231,15.730953,6.00E+01
5.606240722,2.301550088,26.87688833,-9.62428139,14.87931198,3.80E+01
5.837051761,2.508062567,27.16822702,-7.080184936,13.82448625,3.50E+01
6.06656183,2.71072199,27.40290505,-4.446317465,12.49820956,2.60E+01
6.294749958,2.909509471,27.58087801,-1.732033281,10.99983235,2.90E+01
6.521587492,3.104474596,27.70138191,1.055119215,9.377941873,3.80E+01
6.747030541,3.295790493,27.76224707,3.911199949,7.612333741,3.50E+01
6.971046779,3.483550437,27.76254366,6.828373541,5.734037822,4.30E+01
7.193616226,3.667742483,27.70204054,9.796564228,3.735478982,3.70E+01
7.414725297,3.848311361,27.58123689,12.80314432,1.641894334,3.80E+01
7.634379032,4.025068201,27.40269902,15.82906792,-0.411674897,4.70E+01
7.852579583,4.197843977,27.1684599,18.85646471,-2.360209773,4.80E+01
8.069309717,4.366624733,26.87863061,21.87257272,-4.252430649,5.30E+01
8.284562064,4.531316504,26.53408549,24.86198254,-6.136681407,4.40E+01
8.498336831,4.691753998,26.13594978,27.80814209,-8.115562194,3.00E+01
8.710630646,4.847827889,25.68550752,30.69371009,-10.26398404,2.00E+01
8.921449317,4.999406735,25.1859428,33.4956224,-12.50463667,8.00E+00
9.130794506,5.146414788,24.64036922,36.19070956,-14.76401489,1.00E+01
9.338654435,5.28892062,24.05129726,38.75728234,-16.96780121,1.30E+01
9.545028336,5.426916732,23.42238255,41.16991193,-19.00532371,1.70E+01
9.749930896,5.560244405,22.7579297,43.40066797,-20.82999626,2.10E+01
9.953377455,5.688771782,22.06285266,45.4195286,-22.34969828,2.30E+01
10.15539132,5.81233934,21.34345525,47.19212308,-23.38334048,1.60E+01
10.35599156,5.930799943,20.60510717,48.68902869,-23.81459103,2.10E+01
10.55517599,6.044160113,19.8508551,49.89195865,-23.60003152,2.30E+01
10.75294198,6.152408617,19.08319622,50.78690753,-22.73281491,2.70E+01
10.94928511,6.255493517,18.30326176,51.36771414,-21.31293711,4.40E+01
11.14419326,6.353439103,17.51170554,51.63199265,-19.42362514,4.00E+01
11.33765912,6.446285438,16.71063177,51.5729156,-17.03411558,4.10E+01
11.52966513,6.534126473,15.90058731,51.19282059,-14.17140894,3.40E+01
11.72017664,6.617174067,15.08015693,50.50512932,-10.90807271,2.00E+01
11.90916746,6.695586195,14.24882729,49.52045333,-7.296324733,1.60E+01
12.09662461,6.769396002,13.40670884,48.24702054,-3.443107313,2.10E+01
